Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
British Virgin Islands,VGB,Births attended by skilled health staff (% of total),,,,,,100,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,Births attended by skilled health staff (% of total),,,98.3,98.5,,,,,,,,,,,,,,
Vietnam,VNM,Births attended by skilled health staff (% of total),58.8,,85,,,,83.8,,,,,91.9,,,93.8,,,
Vanuatu,VUT,Births attended by skilled health staff (% of total),88,,,84,,92,92.9,74,,,,,,89.4,,,,
World,WLD,Births attended by skilled health staff (% of total),62.68410603,,,,,,,,,,,,,,80.10567026,,,
Samoa,WSM,Births attended by skilled health staff (% of total),80,,,,100,,,,,80.8,,,,,82.5,,,
Kosovo,XKX,Births attended by skilled health staff (% of total),,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,Births attended by skilled health staff (% of total),,,,26.8,,,35.7,,,,,,34.4,44.7,,,,
South Africa,ZAF,Births attended by skilled health staff (% of total),,,,91.2,,,,,94.3,,,,,,,,96.7,
Zambia,ZMB,Births attended by skilled health staff (% of total),,,42.1,,,,,45.2,,,,,,,63.3,,,
Zimbabwe,ZWE,Births attended by skilled health staff (% of total),,,,,,,68.5,,,60.2,,66.2,,,80,78.1,,
